config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11447,11459,11450,11422,11366
65535,909,100,11439,11460,11458,11406,11361
65535,909,100,11447,11462,11462,11424,11374
65535,909,100,11437,11458,11437,11438,11389
65535,909,100,11449,11457,11431,11439,11383
65535,909,100,11452,11464,11414,11416,11355
65535,909,100,11463,11464,11435,11403,11360
65535,909,100,11453,11461,11454,11386,11368
65535,909,100,11461,11456,11460,11376,11338
65535,909,100,11463,11449,11461,11368,11359
65535,909,100,11476,11491,11475,11387,11368
65535,909,100,11481,11484,11453,11416,11379
65535,909,100,11479,11470,11457,11398,11348
65535,909,100,11470,11471,11433,11427,11363
65535,909,100,11478,11469,11420,11438,11359
65535,909,100,11464,11459,11413,11445,11372
65535,909,100,11470,11457,11420,11461,11351
65535,909,100,11472,11456,11434,11441,11369
65535,909,100,11479,11455,11455,11455,11379
65535,909,100,11480,11459,11470,11450,11391
65535,909,100,11476,11460,11474,11449,11366
65535,909,100,11476,11459,11491,11428,11376
65535,909,100,11468,11453,11496,11448,11387
65535,909,100,11448,11452,11468,11453,11398
65535,909,100,11453,11453,11450,11445,11394
65535,909,100,11463,11454,11463,11431,11364
65535,909,100,11453,11469,11450,11422,11358
65535,909,100,11459,11473,11470,11409,11367
65535,909,100,11470,11472,11480,11404,11372
65535,909,100,11474,11465,11460,11408,11380
65535,909,100,11486,11468,11446,11401,11396
65535,909,100,11490,11461,11443,11418,11395
65535,909,100,11489,11460,11456,11409,11364
65535,909,100,11479,11461,11455,11436,11347
65535,909,100,11472,11461,11468,11452,11324
65535,909,100,11475,11457,11481,11437,11350
65535,909,100,11485,11467,11450,11451,11322
65535,909,100,11479,11466,11431,11451,11342
65535,909,100,11454,11466,11418,11446,11362
65535,909,100,11467,11471,11434,11459,11380
65535,909,100,11473,11467,11422,11445,11355
65535,909,100,11478,11469,11415,11447,11343
65535,909,100,11470,11462,11411,11456,11328
65535,909,100,11467,11464,11402,11434,11333
65535,909,100,11474,11462,11403,11425,11343
65535,909,100,11486,11461,11422,11441,11356
65535,909,100,11486,11452,11446,11460,11320
65535,909,100,11479,11465,11456,11462,11335
65535,909,100,11481,11465,11446,11451,11347
65535,909,100,11469,11457,11427,11452,11367
65535,909,100,11479,11466,11466,11460,11381
65535,909,100,11463,11478,11435,11434,11384
65535,909,100,11459,11472,11452,11424,11356
65535,909,100,11451,11459,11428,11430,11368
65535,909,100,11455,11455,11445,11440,11355
65535,909,100,11446,11451,11463,11447,11376
65535,909,100,11433,11443,11460,11423,11379
65535,909,100,11430,11440,11473,11436,11373
65535,909,100,11441,11451,11455,11446,11350
65535,909,100,11456,11459,11437,11452,11359
65535,909,100,11452,11462,11451,11431,11345
65535,909,100,11445,11472,11452,11455,11362
65535,909,100,11461,11460,11462,11460,11366
65535,909,100,11483,11457,11470,11441,11370
65535,909,100,11466,11462,11451,11444,11348
65535,909,100,11466,11503,11464,11452,11364
65535,909,100,11463,11486,11444,11425,11372
65535,909,100,11474,11480,11439,11419,11371
65535,909,100,11483,11479,11453,11438,11345
65535,909,100,11476,11477,11436,11454,11356
65535,909,100,11465,11470,11430,11463,11339
65535,909,100,11470,11459,11439,11475,11347
65535,909,100,11474,11460,11431,11449,11364
65535,909,100,11468,11463,11438,11447,11367
65535,909,100,11470,11451,11422,11448,11373
65535,909,100,11485,11461,11437,11455,11377
65535,909,100,11493,11457,11421,11439,11387
65535,909,100,11482,11461,11443,11469,11384
65535,909,100,11486,11454,11416,11438,11389
65535,909,100,11489,11447,11427,11417,11386
65535,909,100,11493,11448,11443,11431,11351
65535,909,100,11479,11452,11429,11433,11337
65535,909,100,11465,11446,11448,11414,11320
65535,909,100,11461,11448,11454,11430,11344
65535,909,100,11454,11452,11468,11433,11342
65535,909,100,11474,11451,11476,11442,11325
65535,909,100,11461,11449,11485,11425,11341
65535,909,100,11470,11451,11471,11412,11360
65535,909,100,11475,11454,11480,11402,11364
65535,909,100,11481,11468,11477,11392,11363
65535,909,100,11474,11455,11453,11403,11368
65535,909,100,11472,11460,11452,11423,11373
65535,909,100,11459,11502,11437,11404,11368
65535,909,100,11470,11487,11448,11424,11373
65535,909,100,11468,11484,11422,11440,11366
65535,909,100,11475,11472,11414,11441,11378
65535,909,100,11469,11508,11405,11416,11348
65535,909,100,11486,11481,11419,11409,11357
65535,909,100,11467,11468,11424,11398,11371
65535,909,100,11466,11463,11440,11423,11380
65535,909,100,11481,11462,11428,11440,11366
65535,909,100,11483,11450,11438,11456,11379
65535,909,100,11482,11449,11447,11461,11384
65535,909,100,11483,11445,11426,11431,11384
65535,909,100,11478,11454,11435,11421,11383
65535,909,100,11463,11443,11446,11404,11386
65535,909,100,11448,11443,11451,11386,11345
65535,909,100,11468,11439,11435,11406,11320
65535,909,100,11445,11432,11450,11422,11333
65535,909,100,11435,11433,11419,11400,11339
65535,909,100,11423,11446,11398,11410,11348
65535,909,100,11425,11437,11398,11390,11354
65535,909,100,11439,11435,11393,11409,11359
65535,909,100,11435,11432,11411,11425,11361
65535,909,100,11434,11447,11427,11406,11369
65535,909,100,11425,11452,11407,11418,11380
65535,909,100,11435,11444,11401,11405,11395
65535,909,100,11453,11447,11414,11399,11387
65535,909,100,11448,11436,11402,11388,11386
65535,909,100,11452,11436,11420,11403,11389
65535,909,100,11445,11436,11446,11414,11382
65535,909,100,11452,11443,11430,11439,11359
65535,909,100,11457,11451,11436,11452,11356
65535,909,100,11456,11451,11425,11455,11354
65535,909,100,11446,11450,11431,11451,11365
65535,909,100,11444,11441,11421,11431,11367
65535,909,100,11439,11431,11447,11421,11363
65535,909,100,11436,11437,11447,11436,11364
65535,909,100,11443,11444,11431,11440,11361
65535,909,100,11450,11438,11439,11453,11365
65535,909,100,11447,11440,11458,11458,11361
65535,909,100,11445,11446,11435,11467,11336
65535,909,100,11457,11445,11417,11440,11335
65535,909,100,11476,11448,11431,11445,11358
65535,909,100,11468,11447,11441,11450,11359
65535,909,100,11457,11450,11445,11437,11340
65535,909,100,11450,11450,11429,11449,11357
65535,909,100,11442,11449,11415,11457,11365
65535,909,100,11442,11454,11426,11422,11384
65535,909,100,11444,11453,11407,11431,11382
65535,909,100,11460,11450,11404,11442,11388
65535,909,100,11450,11456,11419,11421,11356
65535,909,100,11465,11459,11409,11419,11337
65535,909,100,11456,11453,11429,11401,11319
65535,909,100,11445,11454,11431,11418,11344
65535,909,100,11461,11447,11443,11405,11362
65535,909,100,11478,11453,11437,11397,11373
65535,909,100,11483,11448,11430,11413,11373
65535,909,100,11467,11451,11418,11406,11381
65535,909,100,11479,11457,11432,11391,11386
65535,909,100,11471,11453,11449,11413,11390
65535,909,100,11482,11453,11461,11404,11366
65535,909,100,11468,11445,11454,11395,11377
65535,909,100,11460,11459,11470,11384,11385
65535,909,100,11441,11455,11484,11403,11395
65535,909,100,11445,11452,11489,11393,11385
65535,909,100,11443,11448,11462,11386,11355
65535,909,100,11445,11439,11474,11393,11366
65535,909,100,11461,11450,11444,11420,11369
65535,909,100,11476,11456,11429,11406,11375
65535,909,100,11464,11466,11446,11399,11390
65535,909,100,11463,11456,11463,11391,11391
65535,909,100,11457,11452,11462,11416,11372
65535,909,100,11451,11452,11451,11429,11385
65535,909,100,11429,11452,11449,11449,11360
65535,909,100,11427,11450,11453,11427,11361
65535,909,100,11441,11448,11465,11436,11370
65535,909,100,11463,11455,11469,11455,11341
65535,909,100,11468,11458,11450,11434,11354
65535,909,100,11477,11466,11464,11448,11351
65535,909,100,11469,11457,11455,11420,11371
65535,909,100,11463,11460,11442,11404,11374
65535,909,100,11445,11458,11454,11415,11370
65535,909,100,11441,11451,11462,11418,11389
65535,909,100,11461,11458,11453,11408,11368
65535,909,100,11477,11458,11438,11396,11372
65535,909,100,11463,11463,11446,11387,11348
65535,909,100,11471,11465,11459,11414,11331
65535,909,100,11471,11450,11442,11431,11337
65535,909,100,11490,11458,11459,11445,11322
65535,909,100,11502,11449,11458,11451,11309
65535,909,100,11501,11458,11440,11432,11332
65535,909,100,11481,11460,11452,11436,11345
65535,909,100,11481,11452,11471,11439,11353
65535,909,100,11467,11442,11475,11425,11367
65535,909,100,11472,11433,11463,11403,11364
65535,909,100,11480,11426,11470,11425,11342
65535,909,100,11472,11430,11449,11427,11349
65535,909,100,11472,11490,11430,11414,11336
65535,909,100,11474,11481,11416,11395,11317
65535,909,100,11462,11476,11406,11415,11346
65535,909,100,11468,11466,11429,11401,11367
65535,909,100,11467,11464,11441,11398,11344
65535,909,100,11467,11455,11451,11422,11363
65535,909,100,11467,11455,11454,11414,11363
65535,909,100,11460,11444,11457,11397,11366
65535,909,100,11452,11443,11423,11425,11371
65535,909,100,11453,11447,11412,11443,11374
65535,909,100,11457,11448,11436,11466,11373
65535,909,100,11447,11451,11425,11443,11382
65535,909,100,11454,11455,11417,11431,11386
65535,909,100,11446,11464,11423,11439,11362
65535,909,100,11454,11455,11408,11427,11338
65535,909,100,11458,11444,11406,11443,11351
65535,909,100,11467,11446,11425,11457,11351
65535,909,100,11474,11449,11416,11438,11329
65535,909,100,11472,11450,11444,11447,11342
65535,909,100,11463,11446,11451,11435,11356
65535,909,100,11462,11450,11460,11436,11358
65535,909,100,11463,11455,11439,11430,11360
65535,909,100,11445,11445,11425,11436,11368
65535,909,100,11442,11441,11433,11446,11376
65535,909,100,11460,11446,11445,11452,11386
65535,909,100,11463,11499,11462,11429,11386
65535,909,100,11471,11493,11439,11443,11362
65535,909,100,11451,11483,11417,11426,11347
65535,909,100,11464,11474,11418,11436,11352
65535,909,100,11465,11462,11435,11437,11350
65535,909,100,11450,11459,11441,11424,11352
65535,909,100,11450,11453,11454,11433,11356
65535,909,100,11443,11448,11440,11415,11369
65535,909,100,11457,11443,11441,11431,11377
65535,909,100,11471,11439,11453,11448,11373
65535,909,100,11453,11438,11456,11427,11370
65535,909,100,11443,11429,11465,11409,11367
65535,909,100,11449,11486,11469,11393,11340
65535,909,100,11449,11469,11470,11415,11348
65535,909,100,11443,11505,11446,11398,11326
65535,909,100,11451,11487,11441,11420,11339
65535,909,100,11457,11474,11456,11411,11327
65535,909,100,11458,11471,11456,11420,11347
65535,909,100,11457,11460,11435,11396,11326
65535,909,100,11439,11446,11439,11388,11333
65535,909,100,11450,11435,11454,11409,11315
65535,909,100,11461,11439,11456,11395,11338
65535,909,100,11441,11441,11433,11388,11342
65535,909,100,11450,11445,11410,11409,11321
65535,909,100,11461,11451,11408,11427,11301
65535,909,100,11468,11449,11432,11438,11328
65535,909,100,11475,11440,11439,11420,11300
65535,909,100,11464,11441,11439,11410,11285
65535,909,100,11466,11435,11414,11429,11277
65535,909,100,11453,11432,11403,11437,11282
65535,909,100,11445,11484,11420,11445,11270
65535,909,100,11454,11477,11438,11464,11297
65535,909,100,11445,11461,11434,11458,11312
65535,909,100,11455,11459,11437,11467,11325
65535,909,100,11451,11446,11444,11439,11335
65535,909,100,11458,11435,11455,11445,11343
65535,909,100,11458,11437,11428,11442,11347
65535,909,100,11448,11439,11410,11445,11340
65535,909,100,11440,11439,11426,11418,11318
65535,909,100,11434,11443,11449,11434,11328
65535,909,100,11443,11439,11423,11432,11348
65535,909,100,11434,11444,11433,11440,11349
65535,909,100,11422,11436,11440,11413,11350
65535,909,100,11420,11429,11441,11419,11349
65535,909,100,11430,11437,11448,11402,11366
65535,909,100,11440,11436,11460,11384,11338
65535,909,100,11443,11432,11433,11378,11354
65535,909,100,11436,11469,11444,11368,11355
65535,909,100,11431,11458,11452,11387,11364
65535,909,100,11424,11445,11460,11366,11364
65535,909,100,11439,11441,11443,11372,11365
65535,909,100,11449,11432,11418,11371,11364
65535,909,100,11456,11440,11425,11361,11332
65535,909,100,11451,11438,11413,11363,11315
65535,909,100,11455,11431,11418,11386,11325
65535,909,100,11457,11432,11417,11378,11338
65535,909,100,11436,11432,11427,11395,11355
65535,909,100,11431,11428,11440,11412,11360
65535,909,100,11431,11424,11442,11424,11359
65535,909,100,11440,11428,11429,11430,11332
65535,909,100,11437,11425,11405,11437,11311
65535,909,100,11458,11421,11420,11451,11328
65535,909,100,11459,11420,11431,11432,11340
65535,909,100,11466,11424,11436,11441,11319
65535,909,100,11473,11416,11442,11445,11334
65535,909,100,11467,11474,11453,11425,11349
65535,909,100,11468,11461,11430,11434,11358
65535,909,100,11451,11458,11414,11407,11334
65535,909,100,11454,11452,11401,11395,11346
65535,909,100,11458,11439,11386,11382,11315
65535,909,100,11446,11427,11377,11379,11292
65535,909,100,11451,11431,11396,11398,11315
65535,909,100,11457,11428,11414,11410,11323
65535,909,100,11448,11475,11428,11422,11298
65535,909,100,11445,11470,11431,11425,11307
65535,909,100,11434,11459,11418,11439,11329
65535,909,100,11425,11459,11397,11442,11338
65535,909,100,11438,11450,11419,11412,11323
65535,909,100,11445,11446,11423,11425,11328
65535,909,100,11457,11441,11434,11403,11306
65535,909,100,11450,11433,11422,11419,11320
65535,909,100,11448,11437,11444,11406,11336
65535,909,100,11456,11431,11453,11418,11361
65535,909,100,11466,11440,11462,11414,11333
65535,909,100,11467,11439,11469,11425,11343
65535,909,100,11482,11434,11473,11443,11346
65535,909,100,11486,11429,11451,11444,11358
65535,909,100,11491,11433,11423,11449,11328
65535,909,100,11480,11440,11414,11452,11338
65535,909,100,11484,11444,11422,11431,11347
65535,909,100,11471,11448,11409,11443,11324
65535,909,100,11469,11433,11446,11451,11316
65535,909,100,11465,11425,11451,11434,11328
65535,909,100,11447,11427,11444,11445,11318
65535,909,100,11463,11426,11452,11442,11338
65535,909,100,11470,11427,11455,11420,11344
65535,909,100,11456,11432,11456,11401,11347
